USHER-33,025,809-113,777-96-33,520,242
Central Cee-32,950,820--87,663-81-36,153,483
A.R. Rahman-32,906,738--20,598-100-33,383,147
Lil Uzi Vert-32,903,516-88,936-67-39,580,515
Lewis Capaldi-32,733,247-86,452-66-37,236,967
Fuerza Regida-31,995,839-91,653-117-31,995,839
Green Day-31,908,098-34,637-104-32,758,060
Macklemore-31,742,708-78,504-105-32,260,828
Sean Paul-31,719,477--64,708-66-38,975,847
50 Cent-31,543,022-29,039-93-32,332,190
Hozier-31,379,702-95,373-105-31,379,702
Jhayco-31,361,135--59,274-102-33,308,450
Elvis Presley-31,354,023-487,370-124-31,354,023
Dean Martin-31,286,431-955,589-125-31,286,431
BTS-31,014,676-22,168-63-40,741,916
Manuel Turizo-30,813,112-24,000-66-38,186,155
Wiz Khalifa-30,678,001-12,021-103-31,867,476
Chencho Corleone-30,671,426-69,651-106-31,051,924
Frank Ocean-30,491,505-79,635-128-30,491,505
Meghan Trainor-30,457,381-288,985-69-37,377,997
Lil Baby-30,432,295-61,165-100-31,786,556
Don Omar-30,405,605-24,318-89-34,897,391
Juice WRLD-30,332,919-74,816-94-32,553,139
Tyla-30,230,628-148,340-135-30,230,628
Becky G-30,159,509--35,643-78-36,514,621
Diplo-30,159,039-22,241-95-34,587,996
Snoop Dogg-30,075,878-24,970-109-31,429,177
Carin Leon-29,934,699-55,699-125-30,055,878
Twenty One Pilots-29,899,898--130,523-120-30,631,454
Troye Sivan-29,875,458--17,647-107-32,443,596
Tyler, The Creator-29,855,005-157,055-86-34,491,803
Young Thug-29,828,705-63,335-97-33,656,406
Flo Rida-29,801,767-126,465-134-29,801,767
Kenya Grace-29,756,092--27,430-107-32,478,392
Bobby Helms-29,622,884-1,033,122-146-29,622,884
Demi Lovato-29,537,117--21,992-98-33,320,815
A$AP Rocky-29,485,223-52,152-100-33,183,011
Sabrina Carpenter-28,925,527-245,336-148-28,925,527
ROSALÍA-28,791,051-68,332-47-46,715,627
Junior H-28,772,125-29,969-141-28,772,125
Alan Walker-28,744,054-2,660-100-33,218,914
Steve Lacy-28,665,648-44,913-111-29,765,204
Labrinth-28,631,053-37,762-67-36,829,106
Kodak Black-28,574,617-58,160-99-33,708,388
Young Miko-28,463,670--38,477-105-32,927,802
Creedence Clearwater Revival-28,375,843--6,156-133-29,547,475
Cardi B-28,374,673--27,414-84-35,350,210
Nirvana-28,362,613--14,530-132-28,936,120
Tom Odell-28,291,002--13,085-122-28,383,771
Arcángel-28,106,910-51,573-112-29,918,189
Guns N' Roses-28,098,922--10,571-135-28,860,375
Anirudh Ravichander-27,961,619--48,905-114-31,302,762
Zach Bryan-27,896,368-6,860-151-27,896,368
Pharrell Williams-27,852,112--20,747-102-33,039,602
Latto-27,749,138--73,984-74-38,062,951
AC/DC-27,732,397-3,003-135-29,132,903
Jonas Brothers-27,666,408-274,774-168-27,666,408
John Legend-27,342,485-256,071-156-27,342,485
ABBA-27,340,166-53,971-141-28,390,214
DaBaby-27,259,326-28,674-103-32,070,946
Ty Dolla $ign-27,190,447-128,932-132-29,389,940
iñigo quintero-27,179,715--133,989-140-28,969,719
Conan Gray-27,084,738-169,076-174-27,084,738
Miguel-27,072,372-21,037-80-34,144,669
The Rolling Stones-27,005,981--51,776-138-28,986,653
The Police-26,931,748--59,718-160-27,355,477
Andy Williams-26,714,869-947,631-178-26,714,869
Noah Kahan-26,695,805-149,731-179-26,695,805
Lil Nas X-26,688,981-9,995-61-37,597,256
Christina Aguilera-26,617,165-116,750-177-26,617,165
Bon Jovi-26,552,827--9,105-157-26,864,457
Daniel Caesar-26,516,067-39,452-158-26,993,957
