Travis Scott - Birds In The Trap Sing McKnight-4,721,292,861-2,466,807
Linkin Park - Hybrid Theory-4,720,043,735-3,410,962
Sebastian Yatra - Éxitos de Yatra-4,719,136,108-2,741,445
Christian Nodal - La Voz De México ¡Lo Mejor!-4,671,035,165-2,422,945
Frank Ocean - Blonde-4,662,077,851-4,450,844
Maroon 5 - Overexposed-4,657,444,398-3,004,256
Morgan Wallen - Dangerous: The Double Album-4,655,078,014-3,536,151
Drake - Certified Lover Boy-4,610,772,471-3,889,086
One Direction - Made In The A.M.-4,610,736,994-1,556,165
Melanie Martinez - Cry Baby-4,560,566,254-2,530,815
KAROL G - KG0516-4,534,480,504-2,216,097
David Guetta - 7: Anniversary Edition-4,532,191,339-661,142
Rihanna - Good Girl Gone Bad-4,516,351,919-3,128,950
Drake - Take Care-4,487,880,897-2,714,479
Halsey - Manic-4,484,187,243-1,289,778
Kanye West - The Life Of Pablo-4,481,482,103-2,708,333
Cardi B - Invasion of Privacy-4,438,241,783-872,752
The Chainsmokers - Memories...Do Not Open-4,414,347,091-1,466,203
Shawn Mendes - Handwritten-4,409,144,076-1,414,069
James Arthur - Back from the Edge-4,387,483,848-2,463,305
Ava Max - Heaven & Hell-4,381,680,897-1,471,303
KAROL G - MAÑANA SERÁ BONITO-4,378,812,950-8,020,540
Macklemore - The Heist-4,373,565,403-2,205,752
David Guetta - Nothing but the Beat Ultimate-4,325,278,257-2,003,785
One Direction - FOUR-4,322,531,834-2,573,812
Khalid - Free Spirit-4,322,492,078-911,949
Oasis - Time Flies...1994-2009-4,255,830,987-2,201,970
Guns N' Roses - Appetite For Destruction-4,255,508,959-2,146,439
Taylor Swift - Red (Taylor's Version)-4,224,228,132-5,770,175
Paulo Londra - Homerun-4,223,270,440-1,817,894
Dr. Dre - 2001-4,203,813,728-2,103,706
One Direction - Midnight Memories-4,200,212,529-2,234,425
Calvin Harris - Motion-4,191,520,573-1,816,846
Calvin Harris - 18 Months-4,190,409,055-2,363,253
Rauw Alejandro - VICE VERSA-4,157,154,444-2,425,949
Imagine Dragons - Mercury-4,152,565,970-3,497,126
Linkin Park - Meteora 20th Anniversary Edition-4,124,306,494-3,706,522
50 Cent - Get Rich Or Die Tryin'-4,108,313,070-3,048,607
Harry Styles - Harry Styles-4,105,168,452-1,553,924
Kygo - Cloud Nine-4,104,080,610-823,939
Avicii - Stories-4,102,068,835-1,787,614
Eminem - Recovery-4,101,046,663-2,549,053
Tones And I - Welcome To The Madhouse-4,077,425,791-955,433
Michael Jackson - Thriller-4,058,511,307-2,147,860
