ZÃ© Neto & Cristiano - Oi Balde-212,912,471-303,263
V - Slow Dancing-212,811,990-1,648,667
Henrique & Juliano - Traumatizei-210,950,077-230,589
Travis Scott - K-POP-209,325,173-579,460
Anuel AA - Mas Rica Que Ayer-207,772,391-456,670
Tyla - Water-206,499,285-2,425,856
BTS - Take Two-206,335,399-508,891
Jhayco - Holanda-202,695,019-1,036,034
Bad Gyal - Chulo pt.2-201,659,505-959,913
(G)I-DLE - Queencard-201,219,445-542,787
Grupo Menos Ã Mais - Lapada Dela-199,426,779-696,673
Grupo Frontera - EL AMOR DE SU VIDA-198,179,378-1,872,514
Peso Pluma - LAS MORRAS-198,059,067-419,219
P!nk - TRUSTFALL-195,560,068-459,390
Matheus & Kauan - NÃ£o VitalÃ­cio (Nunca Mais)-194,289,958-330,074
Junior H - El Tsurito-193,944,079-562,180
Labrinth - Never Felt So Alone-193,830,153-455,265
The Weeknd - One Of The Girls-193,118,642-2,782,651
IVE - I AM-192,214,286-442,189
Peso Pluma - BYE-192,053,894-463,540
El Alfa - 4K-187,410,237-188,700
Eden MuÃ±oz - Abcdario-186,397,510-524,518
Peso Pluma - LAGUNAS-186,278,358-882,135
Veigh - Novo BalanÃ§o-186,230,598-504,329
Billie Eilish - hotline (edit)-186,181,274-774,885
Shakira - AcrÃ³stico-184,618,903-367,730
Feid - NiÃ±a Bonita-184,616,477-370,623
Anirudh Ravichander - Chaleya-184,059,924-1,365,489
Agust D - Haegeum-184,041,237-504,217
Niall Horan - Heaven-183,955,579-309,052
TAEYANG - VIBE-183,173,797-194,977
Shubh - Cheques-183,000,112-582,319
FIFTY FIFTY - Cupid-182,175,894-231,036
Rauw Alejandro - BABY HELLO-181,551,766-674,252
Taylor Swift - I Can See You (Taylorâs Version) (From The Vault)-181,031,826-597,447
Chino Pacas - Dijeron Que No La Iba Lograr-180,885,914-423,495
Jasleen Royal - Heeriye-180,040,871-949,276
The Kid LAROI - LOVE AGAIN-179,862,343-346,582
Laufey - From The Start-179,826,922-776,398
Metro Boomin - Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da-179,806,888-476,367
Travis Scott - TELEKINESIS-179,724,083-906,455
Rockwell - Somebody's Watching Me-178,659,065-44,154
Apache 207 - Komet-176,743,428-274,790
Troye Sivan - Rush-176,672,215-839,425
Kaliii - Area Codes-176,645,947-291,627
