Harry Styles - As It Was-2,867,168,481-2,330,742
Bad Bunny - Me Porto Bonito-1,616,651,542-1,214,268
Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52-1,531,983,297-1,196,708
SZA - Kill Bill-1,509,976,640-2,704,510
Manuel Turizo - La Bachata-1,424,487,941-1,437,135
Sam Smith - Unholy-1,391,735,845-1,123,760
Bad Bunny - Tití Me Preguntó-1,385,237,855-759,905
David Guetta - I'm Good (Blue)-1,342,007,844-1,681,611
OneRepublic - I Ain't Worried-1,306,667,688-1,421,595
Taylor Swift - Anti-Hero-1,279,731,269-1,977,045
Bad Bunny - Ojitos Lindos-1,273,200,132-920,595
Bad Bunny - Efecto-1,168,768,730-780,843
Rema - Calm Down-1,156,485,359-1,640,172
Joji - Glimpse of Us-1,117,421,141-917,029
Metro Boomin - Creepin'-1,094,678,122-1,864,070
KAROL G - PROVENZA-1,019,004,932-1,009,958
Imagine Dragons - Bones-1,009,940,028-1,192,013
Bad Bunny - Moscow Mule-996,747,476-537,684
Steve Lacy - Bad Habit-949,409,107-922,273
JVKE - golden hour-936,154,241-1,376,142
ROSALÍA - DESPECHÁ-888,434,922-663,079
d4vd - Romantic Homicide-874,916,139-1,661,567
Rosa Linn - SNAP-866,920,366-946,707
Harry Styles - Late Night Talking-845,954,571-629,537
Charlie Puth - Left and Right (Feat. Jung Kook of BTS)-837,308,580-663,568
Ozuna - Hey Mor-834,089,818-1,165,784
Camila Cabello - Bam Bam-830,712,896-469,243
Becky G - MAMIII-802,858,216-563,368
Stephen Sanchez - Until I Found You-789,328,492-1,274,081
Lizzo - About Damn Time-787,596,379-374,139
Drake - Jimmy Cooks-786,922,751-1,256,377
Nicky Youre - Sunroof-753,994,947-573,676
Jack Harlow - First Class-752,456,441-464,787
Bad Bunny - Neverita-751,085,771-443,383
Feid - Feliz Cumpleaños Ferxxo-750,090,987-1,275,371
Yandel - Yandel 150-726,155,859-1,020,235
Swedish House Mafia - Moth To A Flame-725,663,629-770,036
Post Malone - I Like You (A Happier Song)-722,221,804-723,049
Drake - Rich Flex-698,301,562-920,661
Beyoncé - CUFF IT-698,046,621-718,369
Bad Bunny - Tarot-671,560,391-412,313
Future - WAIT FOR U-666,284,015-841,275
Shakira - Te Felicito-665,308,334-418,863
Bad Bunny - Party-664,587,525-371,896
RAYE - Escapism.-661,192,303-1,064,710
Panic! At The Disco - House of Memories-649,311,813-489,271
SZA - Snooze-644,049,884-2,084,349
Arcángel - La Jumpa-637,356,636-652,273
BLACKPINK - Pink Venom-636,461,426-535,243
Zach Bryan - Something in the Orange-628,611,126-1,429,048
Mora - LA INOCENTE-605,204,205-917,554
Taylor Swift - Lavender Haze-604,061,263-798,804
Taylor Swift - Karma-599,670,939-1,200,004
Meghan Trainor - Made You Look-594,917,581-630,688
Central Cee - Doja-577,939,455-544,759
Feid - Normal-576,848,558-912,386
Natanael Cano - AMG-574,570,746-653,086
BLACKPINK - Shut Down-571,183,583-582,977
Lil Uzi Vert - Just Wanna Rock-560,071,463-696,977
Dove Cameron - Boyfriend-559,832,621-433,850
Kordhell - MURDER IN MY MIND-558,816,944-692,168
Rauw Alejandro - LOKERA-549,532,010-523,182
Charlie Puth - Light Switch-547,794,964-303,375
Taylor Swift - Midnight Rain-546,579,922-832,137
Sabrina Carpenter - Nonsense-539,505,444-1,423,601
James Hype - Ferrari-535,946,277-487,566
Bad Bunny - La Corriente-531,892,875-387,501
Metro Boomin - Superhero (Heroes & Villains) [with Future & Chris Brown]-530,480,614-1,190,158
Benson Boone - In The Stars-520,190,853-962,780
Libianca - People-519,847,429-839,980
Rema - Calm Down-519,826,773-427,700
Carin Leon - Que Vuelvas-512,579,440-1,118,486
The Weeknd - Is There Someone Else?-505,430,183-951,750
NewJeans - Ditto-504,600,899-779,385
Doja Cat - Vegas (From the Original Motion Picture Soundtrack ELVIS)-501,129,589-347,723
Bad Bunny - Después de la Playa-499,385,557-236,547
Quevedo - PUNTO G-497,795,435-834,406
Grupo Frontera - NO SE VA-486,999,168-583,402
Nicki Minaj - Super Freaky Girl-483,433,635-352,148
Morgan Wallen - You Proof-483,294,619-736,893
Danny Ocean - Fuera del mercado-477,655,492-424,785
Øneheart - snowfall-466,616,845-1,077,656
Bad Bunny - Un Coco-466,524,424-366,767
Taylor Swift - You're On Your Own, Kid-462,342,198-865,844
Bad Bunny - Un Ratito-456,213,890-245,637
Metro Boomin - Too Many Nights-454,713,129-1,432,206
Imanbek - Belly Dancer-452,375,642-447,537
Billie Eilish - TV-450,047,101-779,500
NewJeans - Hype Boy-449,421,084-574,094
Feid - CHORRITO PA LAS ANIMAS-447,324,627-769,257
Pritam - Kesariya-445,517,055-512,358
Quevedo - VISTA AL MAR-442,878,811-539,261
Shakira - Monotonía-442,249,336-439,821
Ryan Castro - Jordan-438,164,730-586,381
Harry Styles - Matilda-430,432,005-447,138
Taylor Swift - Bejeweled-429,202,677-697,599
Metro Boomin - Trance-429,106,107-1,329,977
Rels B - cómo dormiste?-420,985,328-631,590
ROSALÍA - LA FAMA-416,117,540-264,336
Tiësto - 10:35-414,965,367-686,553
ThxSoMch - SPIT IN MY FACE!-411,227,766-754,474
Coi Leray - Players-406,959,298-427,845
Lizzy McAlpine - ceilings-404,369,334-947,836
Beyoncé - BREAK MY SOUL-400,258,703-331,162
King - Maan Meri Jaan-396,773,471-479,690
Fuerza Regida - Ch y la Pizza-394,711,497-742,390
The Weeknd - Out of Time-394,028,493-389,237
Taylor Swift - Maroon-391,282,897-500,109
Harry Styles - Satellite-391,099,174-481,874
Tate McRae - she's all i wanna be-387,977,496-406,997
Lauren Spencer Smith - Fingers Crossed-387,705,954-288,525
BTS - Run BTS-382,498,133-360,310
Bad Bunny - Andrea-382,205,512-250,177
Jung Kook - Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]-382,173,421-283,889
Lil Nas X - STAR WALKIN' (League of Legends Worlds Anthem)-381,634,762-344,492
Taylor Swift - Snow On The Beach-380,584,965-395,557
SZA - Shirt-380,565,136-542,876
Daddy Yankee - X ÚLTIMA VEZ-379,779,177-227,309
Ñengo Flow - Gato de Noche-379,629,237-501,972
La Adictiva - JGL-378,095,946-383,206
Bad Bunny - Dos Mil 16-376,459,134-255,426
Kodak Black - Super Gremlin-374,818,553-227,599
Christian Nodal - Ya No Somos Ni Seremos-374,789,183-431,538
Harry Styles - Music For a Sushi Restaurant-373,335,238-218,134
Chris Jedi - La Llevo Al Cielo (Ft. Ñengo Flow)-372,074,777-260,106
KAROL G - GATÚBELA-369,899,793-347,743
Wisin & Yandel - Besos Moja2-369,744,184-405,254
Luke Combs - The Kind of Love We Make-369,111,964-569,057
Eden Muñoz - Chale-369,060,848-259,250
LE SSERAFIM - ANTIFRAGILE-368,253,140-531,219
SZA - Nobody Gets Me-367,048,461-722,159
Bad Bunny - Otro Atardecer-366,050,664-296,759
Conan Gray - Memories-362,884,039-574,397
MEDUZA - Bad Memories-362,409,793-542,737
KAROL G - CAIRO-361,165,899-512,019
Central Cee - LET GO-360,618,739-461,498
Dean Lewis - How Do I Say Goodbye-359,952,627-582,777
SZA - Low-357,386,305-646,669
The Weeknd - Sacrifice-356,241,899-204,543
Dxrk ダーク - RAVE-354,927,269-381,141
Kendrick Lamar - N95-354,742,889-390,557
Burna Boy - Last Last-352,434,138-375,951
IVE - LOVE DIVE-349,970,654-314,968
Peso Pluma - Siempre Pendientes-349,052,942-319,791
Feid - Ferxxo 100-347,735,333-584,114
Noah Kahan - Stick Season-347,225,463-2,624,687
Marshmello - Numb-347,196,222-331,410
Rauw Alejandro - PUNTO 40-347,008,241-312,362
Marília Mendonça - Leão-344,845,244-504,800
iñigo quintero - Si No Estás-341,561,149-3,486,347
Jax Jones - Where Did You Go?-340,554,751-258,803
Gunna - pushin P-339,193,036-225,922
Rihanna - Lift Me Up-337,976,646-279,368
Bad Bunny - Yo No Soy Celoso-337,786,687-160,930
Polimá Westcoast - ULTRA SOLO-336,761,443-163,061
Grupo Marca Registrada - El Rescate-336,073,054-338,959
Harry Styles - Daylight-336,004,918-288,308
Bad Bunny - Me Fui de Vacaciones-333,346,150-169,779
Megan Thee Stallion - Sweetest Pie-328,509,503-187,811
David Guetta - Crazy What Love Can Do-327,594,141-249,129
Taylor Swift - Vigilante Shit-325,312,804-503,528
LiL CaKe - MERCHO-324,543,102-365,009
Bailey Zimmerman - Rock and A Hard Place-322,979,245-499,255
BTS - Yet To Come-322,877,128-152,207
Shubh - No Love-322,843,075-324,686
NewJeans - Attention-322,302,487-389,952
Quavo - HOTEL LOBBY (Unc & Phew)-321,750,896-574,682
Future - PUFFIN ON ZOOTIEZ-321,449,223-546,070
Florida Georgia Line - Up Down-320,384,617-143,124
Bad Bunny - Un Verano Sin Ti-317,965,680-222,366
Shae Gill - Pasoori-317,934,839-187,834
Harry Styles - Little Freak-317,396,551-304,651
Armani White - BILLIE EILISH.-315,332,239-223,897
IVE - After LIKE-314,755,041-328,857
Bad Bunny - Enséñame a Bailar-312,369,483-196,051
Alesso - Words-311,898,201-408,409
Hugo & Guilherme - Mal Feito-311,128,984-127,296
Lasso - Ojos Marrones-310,460,108-348,991
Israel & Rodolffo - Bombonzinho-309,643,074-247,347
Sufjan Stevens - Fourth of July-309,584,082-402,306
Anggi Marito - Tak Segampang Itu-309,352,331-658,535
Polimá Westcoast - ULTRA SOLO REMIX-309,288,351-201,544
Bad Bunny - Aguacero-309,269,304-161,762
Gustavo Mioto - Eu Gosto Assim-303,902,108-250,293
Mora - MEMORIAS-303,820,558-388,086
Joji - Die For You-302,947,025-412,039
JIN - The Astronaut-302,490,907-761,152
Hotel Ugly - Shut up My Moms Calling-301,998,167-841,656
Alejo - Pantysito-301,412,335-200,472
Kenshi Yonezu - KICK BACK-301,014,712-376,742
Em Beihold - Numb Little Bug-300,730,149-324,025
Post Malone - Cooped Up-300,287,840-190,422
BLACKPINK - Typa Girl-298,488,531-405,123
Yuridia - Qué Agonía-296,562,005-463,033
Lizzo - 2 Be Loved (Am I Ready)-296,513,467-288,047
Ayra Starr - Rush-295,321,057-553,878
Rex Orange County - THE SHADE-293,170,003-352,312
Junior H - El Hijo Mayor-292,489,351-424,576
LF SYSTEM - Afraid To Feel-290,193,184-290,859
Quevedo - PLAYA DEL INGLÉS-289,783,182-414,822
Jessica Darrow - Surface Pressure-289,372,394-128,439
Shawn Mendes - When You're Gone-288,590,699-237,187
Eliza Rose - B.O.T.A. (Baddest Of Them All)-283,460,317-234,827
Luis R Conriquez - El Gavilán-283,189,327-435,768
Harry Styles - Keep Driving-281,607,277-295,123
Taylor Swift - Mastermind-279,764,763-460,188
Bad Bunny - Agosto-279,327,529-189,908
Lady Gaga - Hold My Hand-276,020,509-262,333
Bizarrap - Villano Antillano: Bzrp Music Sessions, Vol. 51-275,988,870-177,159
MUPP - vendetta!-275,907,531-293,984
Jung Kook - Stay Alive (Prod. SUGA of BTS)-275,339,155-168,121
NLE Choppa - Capo-275,026,037-253,772
Drake - Spin Bout U-273,909,603-568,885
Cris Mj - Marisola-272,985,115-306,362
