The Kid LAROI - STAY-2,861,478,147-1,395,282
Olivia Rodrigo - good 4 u-2,004,533,639-814,197
Olivia Rodrigo - drivers license-1,994,158,453-996,576
Lil Nas X - INDUSTRY BABY-1,908,230,548-691,747
Maroon 5 - Memories-1,862,484,728-771,337
Lil Nas X - MONTERO (Call Me By Your Name)-1,809,796,427-541,123
24kGoldn - Mood-1,765,450,869-468,957
Doja Cat - Kiss Me More-1,678,640,716-703,209
Adele - Easy On Me-1,547,814,036-1,061,769
Justin Bieber - Peaches-1,519,030,496-520,754
Doja Cat - Woman-1,444,884,581-754,037
Olivia Rodrigo - deja vu-1,405,119,511-1,139,367
Farruko - Pepas-1,396,572,297-549,780
Olivia Rodrigo - traitor-1,366,007,144-1,006,072
Imagine Dragons - Enemy-1,344,841,736-878,724
Justin Bieber - Ghost-1,336,773,009-1,381,498
Bad Bunny - Yonaguni-1,332,393,092-447,918
Rauw Alejandro - Todo De Ti-1,232,193,855-468,876
Bruno Mars - Leave The Door Open-1,198,746,140-598,432
BTS - Butter-1,193,698,853-364,999
Billie Eilish - Happier Than Ever-1,176,660,550-839,853
Coldplay - My Universe-1,158,707,164-649,824
Doja Cat - Need to Know-1,105,826,792-447,928
Lost Frequencies - Where Are You Now-1,076,423,774-660,529
LISA - MONEY-1,071,307,285-824,238
GAYLE - abcdefu-1,068,575,850-371,136
Lil Nas X - THATS WHAT I WANT-988,394,235-448,395
Olivia Rodrigo - happier-969,458,252-884,677
The Drifters - Stand by Me-944,132,493-846,686
Surf Curse - Freaks-934,729,919-802,645
Måneskin - I WANNA BE YOUR SLAVE-923,370,826-580,398
Riton - Friday-911,814,108-325,339
Rauw Alejandro - Desesperados-888,860,037-537,355
Olivia Rodrigo - favorite crime-888,385,293-860,612
The Kid LAROI - WITHOUT YOU-881,449,638-282,911
Polo G - RAPSTAR-853,075,527-431,718
Stephen Sanchez - Until I Found You-848,143,177-925,805
Tainy - Lo Siento BB:/-840,990,589-447,245
The Weeknd - Pray For Me-831,753,652-510,688
J Balvin - Qué Más Pues?-761,565,944-282,879
Olivia Rodrigo - jealousy, jealousy-750,465,359-637,930
Doja Cat - You Right-747,412,671-526,001
Sebastian Yatra - Pareja Del Año-747,163,279-414,257
Marshmello - Leave Before You Love Me-732,492,482-586,039
ACRAZE - Do It To It-730,692,782-393,526
Aventura - Volví-724,873,064-364,840
Little Mix - Shout Out to My Ex-723,581,403-176,589
Tiësto - The Motto-721,807,658-442,272
Drake - Wants and Needs-720,612,891-531,494
Travis Scott - Goosebumps-714,547,800-299,231
Lil Tjay - Calling My Phone-713,902,930-384,520
Justin Bieber - Hold On-709,840,157-245,499
Taylor Swift - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)-707,008,823-926,461
Drake - Fair Trade-699,120,053-780,306
Sleepy Hallow - 2055-699,012,103-562,273
MEDUZA - Paradise-682,397,202-256,107
Maroon 5 - Beautiful Mistakes-673,043,648-338,292
Drake - Knife Talk-661,388,265-488,004
ATB - Your Love (9PM)-658,747,690-323,928
Baby Keem - family ties-658,231,884-797,246
Mora - Volando-653,893,697-302,246
TINI - Miénteme-651,216,795-386,846
Justin Bieber - Anyone-650,889,275-235,982
BTS - Permission to Dance-638,250,511-212,497
BoyWithUke - Toxic-631,089,423-334,901
zzoilo - Mon Amour-627,080,311-363,065
Tiësto - Don't Be Shy-623,095,584-357,896
Cardi B - Up-608,596,426-195,029
Los Legendarios - Fiel-603,535,942-148,542
Taylor Swift - Love Story (Taylor’s Version)-586,770,588-1,051,312
Post Malone - One Right Now-584,388,795-303,449
Anitta - Envolver-584,139,228-245,510
Gera MX - Botella Tras Botella-583,959,865-363,467
Tory Lanez - The Color Violet-582,754,374-1,424,124
Taylor Swift - Wildest Dreams (Taylor's Version)-580,089,793-1,098,020
Morgan Wallen - Wasted On You-571,511,175-727,802
Sebastian Yatra - Tacones Rojos-569,511,266-419,856
Marc Seguí - Tiroteo-567,891,119-657,502
CKay - love nwantiti-567,833,720-171,871
Olivia Rodrigo - brutal-564,088,071-377,166
Maluma - Sobrio-556,354,780-311,284
Doja Cat - Get Into It (Yuh)-555,355,389-257,991
Nio Garcia - AM Remix-549,063,095-137,596
Oliver Tree - Life Goes On-532,643,339-213,376
Saweetie - Best Friend-532,093,396-187,576
Drake - Way 2 Sexy-523,572,271-245,186
KAROL G - EL MAKINON-520,682,924-316,195
Rauw Alejandro - Cúrame-514,334,209-376,571
Adele - Oh My God-513,975,206-347,641
Majestic - Rasputin-512,506,250-271,564
Rauw Alejandro - 2/Catorce-504,082,622-169,997
INTERWORLD - METAMORPHOSIS-502,043,944-816,713
OneRepublic - Run-502,004,838-304,909
Taylor Swift - You Belong With Me (Taylor’s Version)-500,930,109-960,177
The Rare Occasions - Notion-492,564,620-536,829
Dua Lipa - We're Good-488,851,436-196,820
Trippie Redd - Miss The Rage-484,846,067-288,918
Ingratax - París-474,007,654-383,182
Gabry Ponte - Thunder-472,757,767-336,526
Camila Cabello - Don't Go Yet-470,742,870-177,796
Rvssian - Nostálgico-470,651,064-231,567
Selena Gomez - Baila Conmigo-466,202,069-87,082
Troye Sivan - Angel Baby-465,993,421-386,801
Joel Corry - OUT OUT-463,953,607-244,905
Billie Eilish - Happier Than Ever-457,868,429-299,441
Joel Corry - BED-453,880,898-147,891
J Balvin - In Da Getto-453,605,610-163,144
NEIKED - Better Days (NEIKED x Mae Muller x Polo G)-452,526,289-199,835
Galantis - Heartbreak Anthem-450,252,056-170,748
Cochise - Tell Em-447,626,504-280,857
The Weeknd - Take My Breath-447,183,786-106,184
PinkPantheress - Pain-443,369,507-694,873
DVRST - Close Eyes-441,881,101-364,698
Måneskin - ZITTI E BUONI-434,213,812-202,699
Tiago PZK - Entre Nosotros-434,096,523-228,121
Madison Beer - Reckless-431,862,251-406,087
Bella Poarch - Build a Bitch-427,834,830-151,261
Mora - 512-427,373,926-267,491
Bruno Mars - Smokin Out The Window-420,654,582-258,136
Blessd - Medallo-420,301,938-183,630
Nathan Evans - Wellerman-417,021,247-125,303
LISA - LALISA-415,522,465-440,983
Drake - Girls Want Girls-414,798,289-288,698
Bizarrap - Tiago PZK: Bzrp Music Sessions, Vol. 48-414,703,887-254,043
Kanye West - Praise God-410,953,076-263,605
P!nk - Cover Me In Sunshine-408,972,785-152,448
Olivia Rodrigo - 1 step forward, 3 steps back-407,174,428-333,322
The Kid LAROI - SO DONE-407,001,993-153,075
JVKE - this is what falling in love feels like-405,128,194-436,607
bbno$ - edamame-404,006,843-260,398
Olivia Rodrigo - enough for you-403,354,447-260,748
SZA - I Hate U-401,414,407-330,940
Jason Derulo - Acapulco-399,278,508-220,662
Becky Hill - Remember-396,920,808-293,876
Calibre 50 - A La Antigüita-393,688,760-237,697
Shouse - Love Tonight (David Guetta Remix Edit)-391,083,040-290,595
Billie Eilish - Your Power-390,481,070-183,261
Justin Quiles - Loco-389,774,465-144,740
Amaarae - SAD GIRLZ LUV MONEY Remix-388,045,830-244,652
TWICE - The Feels-383,165,477-270,707
Tainy - Agua-382,202,690-53,306
J. Cole - m y . l i f e-381,355,925-377,996
Little Mix - Touch-380,834,231-61,253
Jhayco - Ley Seca-379,733,472-185,019
Imagine Dragons - Follow You-377,415,911-160,890
Clinton Kane - I GUESS I'M IN LOVE-374,795,738-256,453
Kanye West - Hurricane-374,379,496-216,365
Post Malone - Motley Crew-368,409,024-203,334
Shawn Mendes - Summer of Love (Shawn Mendes & Tainy)-367,797,443-169,890
V - Christmas Tree-366,479,973-225,384
Jamie Miller - Here's Your Perfect-365,046,468-312,078
Nathan Evans - Wellerman-362,795,426-203,792
Drake - What’s Next-361,808,404-149,144
Tom Grennan - Little Bit of Love-361,453,766-168,654
Tai Verdes - AOK-357,860,795-195,615
ROSÉ - On The Ground-357,322,325-574,621
OneRepublic - Sunshine-356,512,085-314,997
Lil Tjay - Run It Up-355,805,155-241,301
Ofenbach - Wasted Love-354,711,046-129,726
Jordan Davis - Buy Dirt-352,560,439-448,064
Nio Garcia - AM-351,483,877-73,874
Taylor Swift - The Way I Loved You (Taylor’s Version)-349,354,928-436,704
Rochy RD - Ella No Es Tuya-347,689,033-97,830
LAGOS - Mónaco-340,501,848-591,393
J. Cole - p r i d e . i s . t h e . d e v i l-337,887,116-200,682
Sech - 911-337,703,022-90,898
Henrique & Juliano - Arranhão-336,485,836-132,752
NIKI - Every Summertime-332,187,911-323,025
Conan Gray - People Watching-327,697,512-492,747
Don Omar - Bandoleros-326,913,582-215,587
J Balvin - Poblado-326,628,229-144,415
Sech - 911 (Remix)-326,616,469-146,455
Morgan Wallen - Sand In My Boots-322,774,567-256,892
Matt Sassari - Give It To Me-321,105,599-689,045
Taylor Swift - Mr. Perfectly Fine (Taylor’s Version) (From The Vault)-320,152,409-349,113
Coldplay - Higher Power-319,214,205-176,324
KAROL G - SEJODIOTO-318,602,805-191,887
Marca MP - Ya Acabo-315,708,328-164,232
Ashnikko - Slumber Party-314,962,383-166,671
Shawn Mendes - It'll Be Okay-313,675,172-182,911
Tanishk Bagchi - Raataan Lambiyan (From "Shershaah")-313,115,045-518,099
Tion Wayne - Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]-311,599,434-105,836
DJ Khaled - EVERY CHANCE I GET-311,497,410-282,462
Yeat - Monëy so big-311,182,116-399,590
Mareux - The Perfect Girl-309,760,499-410,028
Grupo Firme - Ya Supérame (En Vivo)-308,561,412-220,718
Öwnboss - Move Your Body-307,454,657-285,364
Feby Putri - Runtuh-306,580,987-470,738
Benson Boone - GHOST TOWN-306,049,522-219,152
AJR - World's Smallest Violin-304,300,971-222,973
Lil Tjay - Headshot-303,524,415-195,781
Central Cee - Obsessed With You-302,978,091-214,750
Eyedress - Something About You-301,940,397-690,686
Walker Hayes - Fancy Like-300,389,956-135,356
Megan Thee Stallion - Thot Shit-295,086,099-120,752
ENHYPEN - FEVER-294,351,768-245,217
Billie Eilish - NDA-294,251,332-215,700
KAROL G - 200 COPAS-293,548,163-217,144
Latto - Big Energy-293,355,078-164,939
Regard - You-292,284,611-153,760
Olivia Rodrigo - hope ur ok-292,012,054-188,810
Justin Bieber - Off My Face-291,674,274-279,691
ROSÉ - Gone-289,732,218-315,235
Fireboy DML - Peru-287,980,515-162,667
Tiago PZK - Salimo de Noche-286,867,401-131,696
Tyler, The Creator - WUSYANAME-286,058,099-251,235
Imagine Dragons - Enemy-285,953,644-160,743
Imagine Dragons - Wrecked-281,438,577-171,711
Lil Durk - Broadway Girls-280,916,248-315,019
Luude - Down Under-280,652,392-197,535
Billie Eilish - Lost Cause-279,677,731-141,390
George Henrique & Rodrigo - Vai Lá Em Casa Hoje-277,944,906-142,113
IVE - ELEVEN-275,887,407-196,337
Bizarrap - Eladio Carrion: Bzrp Music Sessions, Vol. 40-275,715,910-267,062
Fred again.. - Marea (we’ve lost dancing)-274,549,861-365,387
Drake - Champagne Poetry-274,025,692-242,962
YOASOBI - 怪物-274,016,983-212,496
Kungs - Never Going Home-273,533,161-135,483
LeeHi - ONLY-273,030,075-386,377
João Gomes - Meu Pedaço de Pecado-270,895,955-73,464
Israel & Rodolffo - Batom de Cereja-270,359,035-63,462
Taylor Swift - I Knew You Were Trouble (Taylor's Version)-269,559,549-463,773
Ashe - Till Forever Falls Apart-268,925,581-410,234
Matisse - Como Lo Hice Yo-268,826,027-274,246
Kanye West - Moon-268,589,921-184,889
DJ Snake - SG-267,601,909-130,025
Becky Hill - My Heart Goes (La Di Da)-267,329,519-179,243
Wisin - Fiel-267,223,454-59,077
Ruth B. - Dandelions-265,740,628-202,326
Rauw Alejandro - Sexo Virtual-264,272,648-180,177
Drake - Yebba’s Heartbreak-262,488,096-513,474
Young Stoner Life - Solid-260,730,340-105,895
WILLOW - t r a n s p a r e n t s o u l feat. Travis Barker-260,659,872-78,998
JNR CHOI - TO THE MOON-259,846,773-97,160
Bizarrap - L-Gante: Bzrp Music Sessions, Vol.38-257,885,301-96,940
Taylor Swift - right where you left me-257,540,244-558,448
Sech - Sal y Perrea-256,626,152-63,127
Sarah Cothran - As the World Caves In-256,579,299-184,142
PlayaPhonk - Phonky Town-256,373,791-109,303
Brent Faiyaz - GRAVITY (FEAT. TYLER, THE CREATOR)-256,166,888-223,501
Ryan Castro - Mujeriego-255,566,609-153,680
Maluma - Aloha-254,666,001-81,856
Taylor Swift - We Are Never Ever Getting Back Together (Taylor's Version)-254,383,859-478,971
Alesso - When I’m Gone-254,124,539-164,671
The Kid LAROI - F*CK YOU, GOODBYE-252,738,620-119,727
Ryan Castro - Monastery-251,920,571-327,601
Matheus Fernandes - Baby Me Atende-250,998,862-41,771
Camilo - Índigo-250,389,377-123,703
ENHYPEN - Drunk-Dazed-249,089,989-236,677
Kordhell - Live Another Day-248,763,934-258,685
Henrique & Juliano - A Maior Saudade-247,614,696-75,998
NATTI NATASHA - Ram Pam Pam-247,545,841-57,078
Montell Fish - Fall in Love with You.-246,837,788-409,758
PinkPantheress - Break It Off-245,576,483-257,467
BTS - Film out-244,198,948-71,404
Conan Gray - Astronomy-243,820,944-327,888
Roddy Ricch - late at night-243,321,635-101,826
Key Glock - Ambition For Cash-243,285,154-447,689
Hensonn - Sahara-242,397,147-212,467
Kanye West - Off The Grid-241,253,096-163,521
Jeremy Zucker - this is how you fall in love-240,849,430-157,694
Grupo Los de la O - Fuga Pa Cali 2-240,822,647-207,660
Billie Eilish - Billie Bossa Nova-239,794,508-356,904
Joyner Lucas - Ramen & OJ-239,507,975-141,984
Emmy Meli - I AM WOMAN-239,352,795-108,381
Calvin Harris - By Your Side-238,302,609-100,372
Giveon - For Tonight-238,002,477-152,945
Taylor Swift - Red (Taylor's Version)-237,768,345-307,140
Becky G - FULANITO-237,464,552-101,329
Ángela Aguilar - Dime Cómo Quieres-237,213,593-147,595
Baby Keem - 16-236,394,363-373,755
Ariana Grande - 34+35 Remix-235,757,454-97,565
Grupo Firme - En Tu Perra Vida-233,684,785-167,234
J. Cole - a m a r i-233,530,989-213,572
ITZY - LOCO-233,083,609-160,340
StarBoi3 - Dick-232,954,912-84,178
Alvaro Diaz - Problemón-232,820,953-204,464
Lil Tecca - LOT OF ME-232,566,455-362,571
The Kid LAROI - WITHOUT YOU-232,336,039-93,139
TOMORROW X TOGETHER - 0X1=LOVESONG (I Know I Love You) feat. Seori-232,268,856-152,672
DEKKO - 12x3-231,582,323-150,373
Ivan Cornejo - Está Dañada-231,162,699-213,140
Dímelo Flow - Se Le Ve-230,951,476-56,281
KSLV Noh - Disaster-230,545,530-180,613
KAROL G - LOCATION-229,656,121-41,693
Yng Lvcas - La Bebe-229,342,627-204,371
Anne-Marie - Our Song-228,912,482-94,773
KAROL G - EL BARCO-228,869,855-378,741
Camilo - KESI-228,817,048-79,511
Christian Nodal - La Sinvergüenza-227,792,521-180,660
Zack Tabudlo - Pano-225,766,301-217,961
Shubh - We Rollin-225,203,046-183,435
Bruno Mars - Skate-224,729,299-136,066
siouxxie sixxsta - masquerade-224,509,085-193,473
Egzod - Royalty-224,411,287-499,641
Tyler, The Creator - SWEET / I THOUGHT YOU WANTED TO DANCE-223,649,361-253,781
Trueno - DANCE CRIP-223,566,842-186,209
Coldplay - Let Somebody Go-223,365,777-146,017
Sidhu Moose Wala - 295-223,212,313-256,585
Nardo Wick - Who Want Smoke??-222,425,989-165,936
Stray Kids - Thunderous-222,405,363-157,773
Jorge & Mateus - Molhando o Volante-222,250,972-95,415
Adele - I Drink Wine-221,741,701-220,067
Chani Nattan - Daku-221,451,593-227,660
Vance Joy - Missing Piece-219,895,089-154,251
Summer Walker - No Love-219,774,164-242,689
Juice WRLD - Bad Boy-219,773,862-101,628
Russ - 3:15 (Breathe)-218,990,280-641,000
Cody Johnson - 'Til You Can't-218,752,980-221,636
Taylor Swift - All Too Well (Taylor's Version)-218,434,245-292,889
Alan Walker - Sweet Dreams-218,355,869-156,748
Justin Bieber - As I Am-217,612,679-72,231
YBN Nahmir - Opp Stoppa-217,511,902-151,685
aespa - Next Level-217,402,766-152,579
David Guetta - Memories-217,313,757-174,744
TINI - Bar-217,042,116-107,397
