The Weeknd - Blinding Lights-3,934,830,844-1,829,296
Glass Animals - Heat Waves-2,753,542,793-1,228,440
Dua Lipa - Levitating-1,927,456,584-863,849
Bad Bunny - DÁKITI-1,858,868,526-647,133
BTS - Dynamite-1,766,469,429-534,538
The Weeknd - Save Your Tears-1,750,925,070-1,397,646
Lauv - I Like Me Better-1,683,871,826-584,477
Ed Sheeran - Bad Habits-1,648,434,586-606,014
DaBaby - ROCKSTAR-1,588,577,801-293,536
Ava Max - Sweet but Psycho-1,563,964,578-622,715
Powfu - death bed (coffee for your head)-1,553,916,188-542,548
Trevor Daniel - Falling-1,523,304,396-486,473
Conan Gray - Heather-1,443,781,629-1,891,791
Ed Sheeran - Shivers-1,422,451,274-810,594
The Weeknd - Save Your Tears (Remix)-1,361,476,856-1,148,121
Ariana Grande - positions-1,330,135,440-587,545
Tate McRae - you broke me first-1,273,708,076-876,383
Eminem - Godzilla-1,269,811,274-1,902,038
Internet Money - Lemonade-1,259,903,665-365,641
Cardi B - WAP-1,257,411,766-353,352
Lil Mosey - Blueberry Faygo-1,229,551,883-321,259
blackbear - hot girl bummer-1,210,865,567-307,948
Maluma - Hawái-1,204,022,848-481,853
Future - Life Is Good-1,168,960,778-435,168
Selena Gomez - Lose You To Love Me-1,136,766,844-507,328
Joel Corry - Head & Heart-1,128,868,929-316,735
Dua Lipa - Break My Heart-1,124,704,941-432,838
Justin Bieber - Intentions-1,118,010,237-315,523
Tiësto - The Business-1,116,213,812-424,567
Jawsh 685 - Savage Love (Laxed-1,079,492,285-201,895
Pop Smoke - For The Night-1,061,095,004-343,598
Pop Smoke - What You Know Bout Love-1,044,190,947-468,673
Taylor Swift - cardigan-1,042,530,169-1,715,158
Ariana Grande - Stuck with U-1,039,852,965-463,675
Giveon - Heartbreak Anniversary-1,035,684,369-630,112
Drake - Toosie Slide-1,017,882,937-259,192
Kali Uchis - telepatía-1,003,305,633-716,994
Lady Gaga - Rain On Me-1,002,320,244-274,559
Elley Duhé - MIDDLE OF THE NIGHT-971,088,351-750,917
Jay Wheeler - La Curiosidad-963,865,967-696,605
Disclosure - Talk-936,863,792-165,700
Bad Bunny - LA NOCHE DE ANOCHE-930,040,905-358,319
SZA - Good Days-924,204,775-782,892
Ariana Grande - 34+35-915,013,595-382,160
BLACKPINK - How You Like That-910,178,796-900,399
Drake - Laugh Now Cry Later-904,760,042-369,667
Juice WRLD - Come & Go-899,180,437-318,726
Dua Lipa - Physical-893,905,493-382,935
The Weeknd - In Your Eyes-881,493,210-346,146
Ava Max - Kings & Queens-873,577,578-428,826
Taylor Swift - august-871,543,522-1,463,853
Dua Lipa - Levitating-866,935,366-423,264
The Weeknd - Heartless-866,448,452-722,177
Lauv - i'm so tired...-854,630,444-216,299
Juice WRLD - Wishing Well-839,326,540-361,848
Bad Bunny - Safaera-824,716,568-237,326
Bad Bunny - La Santa-823,846,151-502,467
Noah Cyrus - July-820,576,898-594,568
Don Toliver - No Idea-820,341,672-576,828
KAROL G - BICHOTA-819,781,642-300,119
Doja Cat - Boss Bitch-815,828,564-357,326
The Weeknd - After Hours-812,009,917-821,264
J Balvin - UN DIA (ONE DAY)-793,983,465-209,779
Polo G - Martin & Gina-778,806,900-627,065
Conan Gray - Maniac-772,280,446-473,329
Justin Bieber - Lonely-769,842,006-292,566
Jack Harlow - Whats Poppin-765,819,469-349,661
Justin Bieber - Yummy-764,942,961-152,570
Bad Bunny - Si Veo a Tu Mamá-761,344,297-300,051
Justin Bieber - Holy-755,528,605-177,467
Billie Eilish - Therefore I Am-752,320,288-282,371
THE SCOTTS - THE SCOTTS-748,765,807-274,962
CJ - Whoopty-742,933,958-200,349
Bad Bunny - A Tu Merced-728,775,570-281,063
Pop Smoke - Mood Swings-728,173,720-323,017
Taylor Swift - willow-718,789,338-774,925
BENEE - Supalonely-717,447,389-114,069
Bad Bunny - Yo Perreo Sola-711,461,444-183,503
Jack Harlow - Whats Poppin-708,342,878-267,884
Drake - Chicago Freestyle-689,839,306-487,094
DJ Khaled - POPSTAR-680,931,307-221,908
Jason Derulo - Take You Dancing-677,400,453-211,132
Bad Bunny - La Difícil-674,529,040-285,723
StaySolidRocky - Party Girl-673,116,346-230,395
BTS - Life Goes On-668,134,553-266,538
Myke Towers - Bandido-664,134,576-194,006
Chris Brown - Go Crazy-659,268,673-234,599
